Sample	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
0	-3455.701892174997	-2926.1270816129963	-529.5748105620005	0.07643804142811317	0.1471412987803456	0.021982933251148237	0.754437726540393	0.3645228098470097	0.05900702009523557	0.24375490458003174	0.332715265477723	0.2090842764553227	0.03827602718803338	0.07811580779353824	0.6745238885631056	0.8347187057075395	1.7111179628506672	6.898725480411753	2.02929543347951	0.04734362844625016	0.9282623449003329	0.001276347392834131	20.877103648754783	55.53240099015381	462.7394536254299	-1603.6917260362243	-320.6515534992007	-1001.7838020775716
25000	-3482.2301043418684	-2928.0709589812795	-554.159145360589	0.05978961952676479	0.1444693832870373	0.01838976707978758	0.7773512301064104	0.4215502762545011	0.06550756911229882	0.22652577297623608	0.2864163816569641	0.19005535845736835	0.038334732444038844	0.0927638900403642	0.6788460190582285	0.5626024043869565	1.7510359981142454	8.404844274861595	1.81075302576927	0.08619280819139304	1.1069148947334762	0.001295766681059321	26.406900596038877	56.79455705408027	499.421047258138	-1590.768884939746	-322.9638480718837	-1014.33822596965
50000	-3483.3191675955527	-2915.7574001122116	-567.5617674833412	0.06597926085031312	0.1625561096959492	0.029306803032618622	0.7421578264211192	0.40603920741333305	0.07209638463665931	0.22164911615717378	0.30021529179283396	0.16472264772073372	0.046143194955534435	0.09114203314998616	0.6979921241737455	0.6594883856117735	2.456722229790985	5.434933324257569	2.0398860920093673	0.03799915193757383	0.9270665945864371	0.001037534822754718	32.558422692964434	64.53590385684666	567.544835930333	-1592.1820468944925	-320.65016581765786	-1002.9251874000612
75000	-3476.7700991355696	-2925.462308836753	-551.3077902988166	0.05173711887773299	0.15590211485528763	0.023824446695658263	0.7685363195713212	0.39483877400429646	0.050635074902360064	0.27987881110711915	0.2746473399862245	0.201747319710508	0.03686137561271432	0.07040400744774275	0.6909872972290348	0.5845978406887489	1.347906883109425	8.691003052459408	2.002079508263075	0.06378366344386391	0.9389086354752668	0.001225742878513831	25.50907269823244	62.36814485847809	517.9718472979511	-1597.9577451040363	-322.3725436710164	-1005.1320200617002
100000	-3506.784266916415	-2927.176557547301	-579.6077093691143	0.059727999264277555	0.11726876559258921	0.018932373908033887	0.8040708612350992	0.3675278323873551	0.07546652735668768	0.2173820454302031	0.3396235948257542	0.20672274259438278	0.05015668969668699	0.07875484785681144	0.6643657198521188	0.5222737637086857	2.528678864352984	6.021755707566942	1.8759001198439806	0.06058038728902084	1.067690445818637	0.0011667016724161154	30.678598651378163	59.67935502920135	566.0817008821646	-1604.936597829832	-320.638173295286	-1001.6017864221831
125000	-3480.0727339463783	-2936.6101411553564	-543.4625927910217	0.06008221265817471	0.16027172490106098	0.022025156855229242	0.7576209055855351	0.3763833513394869	0.06924644022438017	0.23533804044414114	0.31903216799199186	0.20522535089531116	0.04709785803500293	0.07985774526814618	0.6678190458015398	0.5167931820329527	2.606158929494011	5.3116247060138555	1.9962574676524374	0.07566755524488658	0.9328190602819739	0.0012909917933389768	22.342959380438305	67.37877244541744	519.0479243150995	-1609.8111709257605	-321.3722749253331	-1005.4266953042629
150000	-3488.073838100153	-2932.7754235964176	-555.2984145037351	0.07763626407252017	0.14474570487663524	0.020266322234167456	0.7573517088166772	0.38888471650142203	0.0696652729462995	0.257853944511107	0.28359606604117166	0.20129555261679352	0.048711047128319335	0.10961301410111621	0.6403803861537711	0.7658692013888659	2.2660558257484	4.832844779724719	1.8260513553192355	0.04600277073082254	1.1318794518324156	0.0012243644478597577	25.94695168073464	57.53539357876933	512.3436250044574	-1599.6099650882725	-321.4928522448724	-1011.6726062632728
175000	-3461.050580922547	-2916.573194821731	-544.4773861008163	0.07883052668610512	0.13898157250711204	0.0324051023561546	0.7497827984506282	0.37410609865177885	0.047808171394494885	0.28094084569012734	0.29714488426359914	0.18130081493407005	0.031617568151566126	0.08516277143273039	0.7019188454816336	1.1602478632854154	3.458173666730566	9.499583360696901	2.0308557066245987	0.03128565459319764	0.9427674754804172	0.0011843600389391286	26.641346433835782	58.78354321297994	492.82031147035525	-1588.9102132558135	-324.24317095338193	-1003.4198106125355
200000	-3475.8385260512955	-2919.589479793805	-556.2490462574906	0.05901766846545904	0.13996197808578814	0.02587493087855485	0.775145422570198	0.37751707477644525	0.04708393896962892	0.21448778090508414	0.3609112053488419	0.1765757639970606	0.05019102877530898	0.08214803590161573	0.6910851713260148	0.7246921659813014	3.795967985622456	4.898570952122893	1.933456475354586	0.058981082488713095	1.0120074729917239	0.0012144739760266124	28.13605709275602	67.67697413150167	533.0978954387358	-1599.0408871840482	-322.01168327285535	-998.5369093369014
225000	-3479.0893548272666	-2922.617982339076	-556.4713724881904	0.0699674805306304	0.1591672911569244	0.02681641413694218	0.7440488141755032	0.4089015752200097	0.0664175616439697	0.2626887742996738	0.2619920888363471	0.17085936072835034	0.04040648178029756	0.10011598921754428	0.688618168273808	0.6466973028303825	1.8815868837750063	6.610359742064916	1.8168282567359824	0.06873342420772782	1.1183279774217008	0.0012791540924307495	24.572543734153008	56.71722239876382	517.1120837333485	-1596.0964407743777	-322.2283260097891	-1004.2932155549094
